song,artist,lyrics,year,mood
Just Like Heaven,The Cure,"""Show me, show me, show me how you do that trick?
The one that makes me scream."" she said
""The one that makes me laugh."" she said
And threw her arms around my neck
""Show me how you do it,
And I promise you,
I promise that
I'll run away with you,
I'll run away with you.""

Spinning on that dizzy edge
I kissed her face and kissed her head
And dreamed of all the different ways
I had to make her glow
""Why are you so far away?"" she said,
""Why won't you ever know
That I'm in love with you,
That I'm in love with you.""

You
Soft and only
You
Lost and lonely
You
Strange as angels
Dancing in the deepest oceans
Twisting in the water
You're just like a dream
You're just like a dream

Daylight licked me into shape
I must have been asleep for days
And moving lips to breathe her name
I opened up my eyes
And found myself alone alone
Alone above a raging sea
That stole the only girl I loved
And drowned her deep inside of me

You
Soft and only
You
Lost and lonely
You
Just like heaven",1987,happy
Viva la Vida,Coldplay,"I used to rule the world
Seas would rise when I gave the word
Now in the morning I sleep alone
Sweep the streets I used to own

I used to roll the dice
Feel the fear in my enemy's eyes
Listened as the crowd would sing,
""Now the old king is dead! Long live the king!""
One minute I held the key
Next the walls were closed on me
And I discovered that my castles stand
Upon pillars of salt and pillars of sand

I hear Jerusalem bells a-ringing
Roman cavalry choirs are singing
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason I can't explain
Once you'd gone there was never
Never an honest word
And that was when I ruled the world

It was a wicked and wild wind
Blew down the doors to let me in
Shattered windows and the sound of drums
People couldn't believe what I'd become
Revolutionaries wait
For my head on a silver plate
Just a puppet on a lonely string
Oh who would ever want to be king?

I hear Jerusalem bells a-ringing
Roman cavalry choirs are singing
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason I can't explain
I know St. Peter won't call my name
Never an honest word
But that was when I ruled the world

Oh, oh, oh, oh, oh, oh [5x]

Hear Jerusalem bells a-ringing
Roman cavalry choirs are singing
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason I can't explain
I know St. Peter won't call my name
Never an honest word
But that was when I ruled the world",2008,happy
Getting Better,The Beatles,"It's getting better all the time

I used to get mad at my school (No I can't complain)
The teachers who taught me weren't cool (No I can't complain)
You're holding me down (Oh), turning me round (Oh)
Filling me up with your rules (Foolish rules)

I've got to admit it's getting better (Better)
A little better all the time (It can't get no worse)
I have to admit it's getting better (Better)
It's getting better since you've been mine

Me used to be angry young man
Me hiding me head in the sand
You gave me the word, I finally heard
I'm doing the best that I can

I've got to admit it's getting better (Better)
A little better all the time (It can't get no worse)
I have to admit it's getting better (Better)
It's getting better since you've been mine
Getting so much better all the time
It's getting better all the time
Better, better, better
It's getting better all the time
Better, better, better

I used to be cruel to my woman
I beat her and kept her apart from the things that she loved
Man I was mean but I'm changing my scene
And I'm doing the best that I can (Ooh)

I admit it's getting better (Better)
A little better all the time (It can't get no worse)
Yes I admit it's getting better (Better)
It's getting better since you've been mine
Getting so much better all the time
It's getting better all the time
Better, better, better
It's getting better all the time
Better, better, better
Getting so much better all the time",1967,happy
Got My Mind Set on You,George Harrison,"I got my mind set on you
I got my mind set on you
I got my mind set on you
I got my mind set on you

But it's gonna take money
A whole lotta spending money
It's gonna take plenty of money
To do it right child

It's gonna take time
A whole lot of precious time
It's gonna take patience and time, ummm
To do it, to do it, to do it, to do it, to do it
To do it right child

I got my mind set on you
I got my mind set on you
I got my mind set on you
I got my mind set on you

And this time I know it's for real
The feelings that I feel
I know if I put my mind to it
I know that I really can do it

I got my mind set on you
Set on you
I got my mind set on you
Set on you

But it's gonna take money
A whole lotta spending money
It's gonna take plenty of money
To do it right child

It's gonna take time
A whole lot of precious time
It's gonna take patience and time, ummm
To do it, to do it, to do it, to do it, to do it
To do it right child

I got my mind set on you
I got my mind set on you
I got my mind set on you
I got my mind set on you

And this time I know it's for real
The feelings that I feel
I know if I put my mind to it
I know that I really can do it

But it's gonna take money
A whole lotta spending money
It's gonna take plenty of money
To do it right child

It's gonna take time
A whole lot of precious time
It's gonna take patience and time, ummm
To do it, to do it, to do it, to do it, to do it
To do it right

Set on you
Set on you
Set on you
Set on you
Set on you
Set on you
Set on you
I got my mind set on you
Set on you...",1987,happy
Two Princes,Spin Doctors,"One, two princes kneel before you
That's what I said now
Princes, princes who adore you
Just go ahead now
One has diamonds in his pockets
That's some bread, now
This one said he wants to buy you rockets
Ain't in his head, now

This one he got a princely racket
That's what I said now
Got some Big Seal upon his jacket
Ain't in his head now
You marry him, your father will condone you
How 'bout that now
You marry me, your father will disown you
He'll eat his hat, now

Marry him or marry me
I'm the one that loved you baby can't you see?
Ain't got no future or family tree
But I know what a prince and lover ought to be
I know what a prince and lover ought to be

Said if you want to call me baby
Just go ahead now
And if you like to tell me maybe
Just go ahead now
And if you want to buy me flowers
Just go ahead now
And if you like to talk for hours
Just go ahead now

Said one, two princes kneel before you
That's what I said now
Princes, princes who adore you
Just go ahead now
One has diamonds in his pockets
And that's some bread, now
This one who wants to buy you rockets
Ain't in his head, now

Marry him or marry me
I'm the one that loved you baby can't you see?
Ain't got no future or family tree
But I know what a prince and lover ought to be
I know what a prince and lover ought to be

Said if you want to call me baby
Just go ahead now
And if you like to tell me maybe
Just go ahead now
And if you want to buy me flowers
Just go ahead now
And if you like to talk for hours
Just go ahead now
And if you want to call me baby
Just go ahead now
And if you like to tell me maybe
Just go ahead now
And if you like to buy me flowers
Just go ahead now
And if you like to talk for hours
Just go ahead now
If you want to call me baby
Just go ahead now
And if you like to tell me maybe
Just go ahead now
If you want to buy me flowers
Just go ahead now
And if you like to talk for hours
Just go ahead now
Oh Baby!
Just go ahead now
Oh!
Just just go ahead now
Oh, your majesty!
Just go ahead now
Come on forget the King who... marry me!
Just go ahead now
Come on, come on, come on
Just go ahead now
Go ahead now
Just go ahead now, [etc.]",1991,happy
Australia,The Shins,"Time to put the ear-covers on!
No!

Born to, born to multiply
Born to gaze into night skies,
All you want's one more Saturday.

Well, look here, until then
They're gonna buy your life's time
So keep your wick in the air
And your feet in the fetters
'Til the day...
They come in doing cartwheels
We all crawl out by ourselves
And your shape on the dance floor
Will have me thinking such filth I'll gouge my eyes.

You'd be damned to be one of us, girl
Faced with a dodo's conundrum
I felt like I could just fly
But nothing happened every time I tried.

A duotone on the wall
Selfless fool who hoped he'd save us all
Never dreamt of such sterile hands,
You keep 'em folded in your lap,
Or raise them up to beg for scraps,
You know, he's holding you down
With the tips of his fingers just the same,
Will you be pulled from the ocean
But just a minute too late,
Or changed by a potion,
And find a handsome young mate
For you to love.

You'll be damned to pining through the windowpanes,
You know you'd trade your life for any ordinary Joe,
Well do it now or grow old,
Your nightmares only need a year or two to unfold.

Been alone since you were twenty-one,
You haven't laughed since January,
You try and make like this is so much fun,
But we know it to be quite contrary.

Dare to be one of us, girl,
Facing the android's conundrum,
I felt like I should just cry,
But nothing happens every time I take one on the chin,
You're Himmler in your coat,
You don't know how long I have been,
Watching the lantern dim,
Starved of oxygen,
So give me your hand,
And let's jump out the window.",2007,happy
Merry Happy,Kate Nash,"Watching me like you never watch no one
Don't tell me that you didn't try and check out my bum
Cause I know that you did
Cause your friend told me that you liked it

Gave me those pearls and I thought they were ugly
Though you try to tell me that you never loved me
I know that you did
'Cause you said it and you wrote it down

Dancing at discos
Eating cheese on toast
Yeah you make me merry make me very very happy
But you obviously, you didn't want to stick around

Dancing at discos
Eating cheese on toast
Yeah you make me merry make me very very happy
But you obviously, you didn't want to stick around

So I learnt from you
Do do do da do do do do do da do do do do do da do
Do do do da do do do do do da do do do do do da do

I can be alone, yeah
I can watch a sunset on my own
I can be alone, yeah
I can watch a sunset on my own
I can be alone
I can watch a sunset on my own

I can be alone, yeah
I can watch a sunset on my own
I can be alone, yeah
I can watch a sunset on my own
I can be alone
I can watch a sunset on my own

Sitting in restaurants
Thought we were so grown up
But I know now that we were not the people
That we turned out to be

Chatting on the phone
Can't take back those hours
But I won't regret
'Cause you can grow flowers
From where dirt used to be

Dancing at discos
Eating cheese on toast
Yeah you make me merry make me very very happy
But you obviously, you didn't want to stick around

Dancing at discos
Eating cheese on toast
Yeah you make me merry make me very very happy
But you obviously, you didn't want to stick around

So I learnt from you
Do do do da do do do do do da do do do do do da do
Do do do da do do do do do da do do do do do da do

I can be alone, yeah
I can watch a sunset on my own
I can be alone, yeah
I can watch a sunset on my own
I can be alone
I can watch a sunset on my own
(do do do da do do do do do da do do do do do da do)

I can be alone, yeah
I can watch a sunset on my own
I can be alone, yeah
I can watch a sunset on my own
I can be alone
I can watch a sunset on my own
(do do do da do do do do do da do do do do do da do)",2007,happy
Daydream Believer,The Monkees,"Oh, I could hide 'neath the wings
Of the bluebird as she sings
The six o'clock alarm would never ring
But it rings and I rise
Wipe the sleep out of my eyes
My shavin' razor's cold and it stings

Cheer up, Sleepy Jean
Oh, what can it mean
To a daydream believer
And a homecoming queen

You once thought of me
As a white knight on his steed
Now you know how happy I can be
Oh, and our good times start and end
Without dollar one to spend
But how much, baby, do we really need

Cheer up, Sleepy Jean
Oh, what can it mean
To a daydream believer
And a homecoming queen
Cheer up, Sleepy Jean
Oh, what can it mean
To a daydream believer
And a homecoming queen

[Instrumental interlude]

Cheer up, Sleepy Jean
Oh, what can it mean
To a daydream believer
And a homecoming queen
[Repeat and fade]",1968,happy
Daylight,Matt & Kim,"We cut the legs off of our pants
Threw our shoes into the ocean
Sit back and wave through the daylight
Sit back and wave through the daylight

Slip and slide on subway grates
These shoes are poor man's ice skates
Fall through like change in the daylight
Fall through like change in the daylight

I miss yellow lines in my roads
Some color on monochrome
Maybe I'll paint them in myself
Maybe I'll paint them in myself

Maybe I'll paint them in myself [x4]

These sidewalks liquid then stone
Building walls and an old pay phone
It rings like all through the daylight
It rings like all through the daylight

[CHORUS:]
And in the daylight we can hitchhike to Maine
I hope that someday I'll see without these frames
And in the daylight I don't pick up my phone
'Cause in the daylight anywhere feels like home

I have five clocks in my life
And only one has the time right
I'll just unplug it for today
I'll just unplug it for today

Open hydrant rolled down windows
This car might make a good old boat
And float down Grand Street in daylight
And float down Grand Street in daylight

And float down Grand Street in daylight [x4]

And with just half of a sunburn
New yellow lines that I earned
Step back and here comes the night time
Step back and here comes the night time

[CHORUS]",2009,happy
Dog Days Are Over,Florence + the Machine,"Happiness hit her like a train on a track
Coming towards her stuck still no turning back

She hid around corners and she hid under beds
She killed it with kisses and from it, she fled
With every bubble, she sank with a drink
And washed it away down the kitchen sink

The dog days are over
The dog days are done
The horses are coming
So you better run

Run fast for your mother, run fast for your father
Run for your children, for your sisters and brothers
Leave all your love and your longing behind
You can't carry it with you if you want to survive

The dog days are over
The dog days are done
Can you hear the horses?
'Cause here they come

And I never wanted anything from you
Except everything you had and what was left after that too, oh
Happiness hit her like a bullet in the back
Struck from a great height by someone who should know better than that

The dog days are over
The dog days are done
Can you hear the horses?
'Cause here they come

Run fast for your mother, run fast for your father
Run for your children, for your sisters and brothers
Leave all your love and your longing behind
You can't carry it with you if you want to survive

The dog days are over
The dog days are done
Can you hear the horses?
'Cause here they come

The dog days are over
The dog days are done
The horses are coming
So you better run
The dog days are over
The dog days are done
The horses are coming
So you better run",2009,happy
Happy,Pharrell Williams,"It might seem crazy what I'm about to say
Sunshine she's here, you can take a break
I'm a hot air balloon that could go to space
With the air, like I don't care, baby, by the way

Uh

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

Here come bad news, talking this and that (Yeah!)
Well, give me all you got, don't hold it back (Yeah!)
Well, I should probably warn you, I'll be just fine (Yeah!)
No offense to you, donât waste your time, here's why

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

Bring me down
Can't nothing bring me down
My level's too high to bring me down
Can't nothing bring me down, I said
Bring me down
Can't nothing bring me down
My level's too high to bring me down
Can't nothing bring me down, I said

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

Bring me down
Can't nothing bring me down
My level's too high to bring me down
Can't nothing bring me down, I said...

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do",2014,happy
Hey Ya!,OutKast,"One, two, three, uh!

My baby don't mess around
Because she loves me so
And this I know for sure
But does she really wanna
But can't stand to see me
Walk out the door

Don't try to fight the feelin'
'Cause the thought alone
Is killing me right now
Uh, thank God for mom and dad
For sticking two together
'Cause we don't know how

Hey, ya [repeat]

You think you've got it
Oh, you think you've got it
But got it just don't get it
'Til there's nothing at all
We get together
Oh, we get together
But separate's always better
When there's feelings involved

If what they say is ""Nothing is forever""
Then what makes, then what makes, then what makes, then what makes, what makes, what makes love the exception
So why you, why you, why you, why you, why you
Are we so in denial
When we know we're not happy here

Y'all don't wanna hear me, you just wanna dance

Hey, ya
Hey, ya
Hey, ya
Don't want to meet your daddy
Hey, ya
Just want you in my Caddy
Hey, ya
Don't want to meet your mama
Hey, ya
Just want to make you cumma
Hey, ya
I'm, I'm
Hey, ya
I'm just being honest
I'm just being honest

Hey, alright now
Alright now fellas yeah!
Now what's cooler than bein' cool?
(Ice cold!)
I can't hear ya'
I say what's, what's cooler than bein' cool?
(Ice cold!)

Alright, alright, alright, alright, alright, alright, alright, alright, alright, alright, alright, alright, alright, alright

OK now ladies (yeah!)
Now we gon' break this thing down in just a few seconds
Now don't have me to break this thing down for nothing
Now I wanna see y'all on your baddest behavior
Lend me some sugar, I am your neighbor

Here we go
Shake it, shake, shake it, shake it
Shake it, shake it, shake, shake it, shake it, shake it
Shake it, shake it like a Polaroid picture
Shake it, shake it
Sh you got to, shake it, sh shake it, shake it, got to shake it
Shake it sugar
Shake it like a Polaroid picture

[Repeating ""Shake it"" in background:]
Now all BeyoncÃ©s and Lucy Lius
And baby dolls
Get on the floor
Get on the floor

Shake it like a Polaroid picture, sugar
You know what to do
You know what to do
Shake it like a Polaroid picture
You know what to do!

Hey, ya [repeat]",2003,happy
Mr. E's Beautiful Blues,Eels,"The smokestack spitting black soot into the sooty sky
The load on the road brings a tear to the indian's eye
The elephant won't forget what it's like inside his cage
The ringmaster's telecaster sings on an empty stage

Goddamn right it's a beautiful day
Goddamn right it's a beautiful day

The girl with the curls and the sweet pink ribbon in her hair
She's crawling out her window 'cause her daddy 
He just don't care
Come on

Goddamn right it's a beautiful day
Goddamn right it's a beautiful day

The clown with the frown driving down to the sidewalk fair
Finger on the trigger let me tell you gave us quite a scare

Goddamn right it's a beautiful day
Goddamn right it's a beautiful day

The kids flip their lids when their ids hear that crazy sound
My neighbor digs the flavor still he's moving to another town
And I don't believe he'll come back

Goddamn right it's a beautiful day
Goddamn right it's a beautiful day

Well i don't know how you take in all the shit you see
No don't believe anyone and most of all 
Don't believe me
Believe you

Goddamn right it's a beautiful day
Goddamn right it's a beautiful day",2000,happy
Alfie,Lily Allen,"Oh, oh, deary me,
My little brother's in his bedroom smoking weed,
I tell him he should get up 'cause it's nearly half past three
He can't be bothered 'cause he's high on THC.

I ask him very nicely if he'd like a cup of tea,
I can't even see him 'cause his room is so smoky,
Don't understand how one can watch so much TV,
My baby brother Alfie, how I wish that you could see.

I only say it 'cause I care,
So please can you stop pulling my hair.
Now, now there's no need to swear,
Please don't despair, my dear mon frÃ¨re.

Oh, Alfie, get up. It's a brand new day,
I just can't sit back and watch you waste your life away
You need to get a job because the bills need to get paid.
Get off your lazy axs,
Alfie please use your brain

Surely there's some walls out there that you can go and spray,
I'm feeling guilty for leading you astray,
Now how the hell do you ever expect that you'll get laid,
When all you do is stay and play on your computer games?

I only say it 'cause I care,
So please can you stop pulling my hair.
Now, now there's no need to swear,
Please don't despair, my dear mon frÃ¨re.

Oh, little brother, please refrain from doing that,
I'm trying to help you out so can you stop being a twat.
It's time that you and I sat down and had a little chat,
And look me in the eyes. Take off that stupid fitted cap.

I only say it 'cause I care,
So please can you stop pulling my hair.
Now, now there's no need to swear,
Please don't despair
Please don't despair, my mon frÃ¨re",2006,happy
I Can See Clearly Now,Jimmy Cliff,"I can see clearly now the rain is gone
I can see all obstacles in my way
Gone are the dark clouds that had me blind
It's gonna be a bright (bright)
Bright (bright) sunshiny day
It's gonna be a bright (bright)
Bright (bright) sunshiny day

Oh, yes I can make it now the pain is gone
All of the bad feelings have disappeared
Here is that rainbow I've been praying for
It's gonna be a bright (bright)
Bright (bright) sunshiny day

(Ooh...) Look all around, there's nothing but blue skies
Look straight ahead, there's nothing but blue skies

I can see clearly now the rain is gone
I can see all obstacles in my way
Here is that rainbow I've been praying for
It's gonna be a bright (bright)
Bright (bright) sunshiny day
It's gonna be a bright (bright)
Bright (bright) sunshiny day
It's going to be a bright (bright)
Bright (bright) sunshiny day
Yeah, hey, it's gonna be a bright (bright) bright (bright)
Sunshiny day
...",1998,happy
Daydream,The Lovin' Spoonful,"What a day for a daydream
What a day for a daydreamin' boy
And I'm lost in a daydream
Dreamin' 'bout my bundle of joy

And even if time ain't really on my side
It's one of those days for taking a walk outside
I'm blowing the day to take a walk in the sun
And fall on my face on somebody's new-mown lawn

I've been having a sweet dream
I been dreaming since I woke up today
It's starring me and my sweet thing
'Cause she's the one makes me feel this way

And even if time is passing me by a lot
I couldn't care less about the dues you say I got
Tomorrow I'll pay the dues for dropping my load
A pie in the face for being a sleepy bull dog

And you can be sure that if you're feeling right
A daydream will last long into the night
Tomorrow at breakfast you may pick up your ears
Or you may be daydreaming for a thousand years

What a day for a daydream
Custom-made for a daydreaming boy
And I'm lost in a daydream
Dreaming 'bout my bundle of joy",1966,happy
Take On Me,a-ha,"Talking away
I don't know what I'm to say
I'll say it anyway
Today is another day to find you
Shying away
I'll be coming for your love. OK?

Take on me (take on me)
Take me on (take on me)
I'll be gone
In a day or two

So needless to say
Of odds and ends
But I'll be stumbling away
Slowly learning that life is OK.
Say after me,
""It's no better to be safe than sorry.""

Take on me (take on me)
Take me on (take on me)
I'll be gone
In a day or two

Oh, things that you say. Yeah.
Is it life or just to play my worries away?
You're all the things I've got to remember
You're shying away
I'll be coming for you anyway

Take on me (take on me)
Take me on (take on me)
I'll be gone
In a day

Take on me (take on me)
Take me on (take on me)
I'll be gone
In a day

Take on me (take on me)
Take me on (take on me)",1985,happy
Sweet About Me,Gabriella Cilmi,"Ooh, watching me... 
Hanging by a string this time 
Don't, easily... 
The climax of the perfect lie 
Ooh, watching me... 
Hanging by a string this time 
Don't, easily... 
Smile worth a hundred lies 

If there's lessons to be learned
I'd rather get my jamming words in first, so 
Tell you something that I've found
That the world's a better place 
When it's upside down, boy

If there's lessons to be learned,
I'd rather get my jamming words in first, so 
When you're playing with desire
Don't come running to my place when it burns like fire, boy 

Sweet about me 
Nothing sweet about me, yeah
Sweet about me 
Nothing sweet about me, yeah
Sweet about me 
Nothing sweet about me, yeah
Sweet about me 
Nothing sweet about me, yeah

Blue, blue, blue 
Waves, they crash 
As time goes by 
So hard to catch 
Too, too smooth 
Ain't all that 
Why don't you ride 
On my side 
Of the tracks 

If there's lessons to be learned
I'd rather get my jamming words in first, so 
Tell you something that I've found
That the world's a better place 
When it's upside down, boy

If there's lessons to be learned
I'd rather get my jamming words in first, so 
When you're playing with desire
Don't come running to my place when it burns like fire, boy.

Sweet about me 
Nothing sweet about me, yeah
Sweet about me 
Nothing sweet about me, yeah
Sweet about me 
Nothing sweet about me, yeah
Sweet about me 
Nothing sweet about me, yeah
Sweet about me 
Nothing sweet about me, yeah
Sweet about me 
Nothing sweet about me, yeah",2008,happy
Jump in the Line,Harry Belafonte,"Shake, shake, shake, Senora
Shake your body line
Shake, shake, shake, Senora
Shake it all the time

Work, work, work, Senora
Work your body line
Work, work, work, Senora
Work it all the time

My girl's name is Senora
I tell you friends, I adore her
And when she dances, oh brother!
She's a hurricane in all kinds of weather

Jump in the line
Rock your body in time
OK, I believe you!
Jump in the line
Rock your body in time
OK, I believe you!

Jump in the line
Rock your body in time
OK, I believe you!
Jump in the line
Rock your body in time
Whoa!

Shake, shake, shake, Senora
Shake your body line, whoa!
Shake, shake, shake, Senora
Shake it all the time

Work, work, work, Senora
Work your body line
Work, work, work, Senora
Work it all the time

You can talk about cha-cha
Tango, waltz or the rumba
Senora's dance has no title
You jump in the saddle, hold on to the bridle

Jump in the line
Rock your body in time
OK, I believe you!
Jump in the line
Rock your body in time
Rock your body, child!

Jump in the line
Rock your body in time
Somebody, help me!
Jump in the line
Rock your body in time
Whoa!

Shake, shake, shake, Senora
Shake your body line
Shake, shake, shake, Senora
Shake it all the time
Whoa

Work, work, work, Senora
Work your body line
Yep
Work, work, work, Senora
Work it all the time

Senora, she's a sensation
The reason for aviation
And fellas, you got to watch it
When she wind up, she bottom, she go like a rocket

Jump in the line
Rock your body in time
OK, I believe you!
Jump in the line
Rock your body in time
Hoist those skirts a little higher!

Jump in the line
Rock your body in time
Up the chimney!
Jump in the line
Rock your body in time
Whoa!

Shake, shake, shake, Senora
Shake your body line
Work, work, work, Senora
Work it all the time

Dance, dance, dance, Senora
Dance it all the time
Work, work, work, Senora
Work it all the time

Senora dances Calypso
Left to right is the tempo
And when she gets the sensation
She go up in the air, come down in slow motion

Jump in the line
Rock your body in time
OK, I believe you!
Jump in the line
Rock your body in time
Somebody, help me!

Jump in the line
Rock your body in time
OK, I believe you!
Jump in the line
Rock your body in time
Whoa!

Shake, shake, shake, Senora
Shake your body line
Shake, shake, shake, Senora
Shake it all the time

Work, work, work, Senora!",1961,happy
I'm a Believer,The Monkees,"I thought love was only true in fairy tales
Meant for someone else but not for me.
Love was out to get me
That's the way it seemed.
Disappointment haunted all my dreams.

Then I saw her face, now I'm a believer
Not a trace of doubt in my mind.
I'm in love, I'm a believer!
I couldn't leave her if I tried.

I thought love was more or less a givin' thing,
Seems the more I gave the less I got.
What's the use in tryin'?
All you get is pain.
When I needed sunshine I got rain.

Then I saw her face, now I'm a believer
Not a trace of doubt in my mind.
I'm in love, I'm a believer!
I couldn't leave her if I tried.

Love was out to get me
Now, that's the way it seemed
Disappointment haunted all my dreams

Oh, then I saw her face, now I'm a believer
Not a trace of doubt in my mind.
I'm in love, I'm a believer!
I couldn't leave her if I tried.

Yes, I saw her face, now I'm a believer
And not a trace of doubt in my mind.
Said I'm a believer
I'm a believer
I'm a believer
Said I'm a believer
I'm a believer
I said I'm a believer
I'm a believer",1967,happy
What a Wonderful World,Louis Armstrong,"I see trees of green
Red roses too
I see them bloom
For me and you
And I think to myself
What a wonderful world

I see skies of blue
And clouds of white
The bright blessed day
The dark sacred night
And I think to myself
What a wonderful world

The colors of the rainbow
So pretty in the sky
Are also on the faces
Of people going by
I see friends shaking hands
Saying, ""How do you do?""
They're really saying
""I love you""

I hear babies cry
I watch them grow
They'll learn much more
Than I'll never know
And I think to myself
What a wonderful world

Yes, I think to myself
What a wonderful world

Oh yeah",,happy
Get Lucky,Dragonette,"Sometimes the sun shines on us
Sometimes the rain goes and a rainbow's all that's left
We got lucky, hey, didn't we, baby?

âCause I like your head on my shoulder
I like the way you smile, the way you smile oh oh
We both think the weather's getting better
So let's get lucky, let's go all the way

I found you seaside in the fog
I hadn't tried a lot of looking for anything at all
The cloud cover of fog
All the hearts I'm gonna' love in the morning

And I like my head on your shoulder
I like the way you smile, the way you smile oh oh
And we both think the weather's getting better
So let's get lucky, let's go all the way

All the way, get lucky
The weatherman says it's wet and cloudy
Stay indoors, sit out the storm
It looks like this might be a quickie

Hey handsome, we got it good
Hey mister, we gone and done it
Just because we could
Because it's cloudy out there
Staying in like we should

âCause I like your head on my shoulder
Me I like the way you smile, the way you smile oh oh
And we both know the weather will get better
So let's get lucky, let's go all the way
Let's get lucky, come on, go all the way",2007,happy
Let's Dance to Joy Division,The Wombats,"I'm back in Liverpool,
And everything seems the same,
But I worked something out last night,
That changed this little boys brain,
A small piece of advice,
That took twenty-two years in the make,
And I will break it for you now,
Please learn from my mistakes,
Please learn from my mistakes.

Let's dance to joy division,
And celebrate the irony,
Everything is going wrong,
But we're so happy,
Let's dance to joy division,
And raise our glass to the ceiling,
'Cause this could all go so wrong,
But we're so happy,
Yeah we're so happy.

So if you're ever feeling down,
Grab your purse and take a taxi,
To the darker side of town,
That's where we'll be,
And we will wait for you and lead you through the dance floor,
Up to the DJ booth,
You know what to ask for,
You know what to ask for.

Go ask for Joy Division,
And celebrate the irony,
Everything is going wrong,
But we're so happy,
Let's dance to Joy Division,
And raise your glass to the ceiling,
'Cause this could all go so wrong,
But we're so happy,
So happy.

So let the love tear us apart,
I've found the cure for a broken heart,
Let it tear us apart,
Let the love tear us apart,
I've found the cure for a broken heart,
Let it tear us apart,
(Let it tear us apart)
So let the love tear us apart,
I've found the cure for a broken heart,
Let it tear us apart,
(Let it tear us apart)
So let the love tear us apart,
I've found the cure for a broken heart,
Let it tear us apart,
Let it tear us apart,
Let it tear us apart.

Let's dance to joy division,
And celebrate the irony,
Everything is going wrong,
But were so happy,
Let's dance to joy division,
And raise our glass to the ceiling,
'Cause this could all go so wrong,
But we're so happy,
Yeah we're so happy,
So happy,
Yeah we're so happy,
So happy,
Yeah we're so happy.",2007,happy
Pumpkin Soup,Kate Nash,"You're chatting to me, like we connect
But I don't even know if we're still friends
It's so confusing,
Understanding you is making me not want to do

And things that I know I should do
But I trip fast and then I lose
And I hate looking like a fool

I just want your kiss boy, kiss boy, kiss boy
I just want your kiss
I just want your kiss boy, kiss boy, kiss boy
I just want your kiss

The lights are on
And someone's home
I'm not sure if they're alone
There's someone else inside my head
Living there too fills me with dread

This paranoia is distressing
But I spend most of my night guessing
Are we not, are we together
Will this make our lives much better

I'm not in love
I just wanna be touched

I just want your kiss boy, kiss boy, kiss boy
I just want your kiss
I just want your kiss boy, kiss boy, kiss boy
I just want your kiss
Whoops I think I've got too close
'Cause now he's telling me I'm girl that he likes most
Now I messed up it's not the first time
I'm not saying you're not on my mind
I hope that you don't think I'm unkind

I just want your kiss boy, kiss boy, kiss boy
I just want your kiss
I just want your kiss boy, kiss boy, kiss boy
I just want your kiss",2007,happy
