song,artist,url,lyrics,year,mood
Long Way From Home,Johnny Gill,https://www.azlyrics.com/lyrics/johnnygill/longwayfromhome.html,"Sometimes it burns like, like a fire, yeah
Love has a mind of, a mind of its own
Donât let it stop your, your desire, mmm
Baby, donât end up, end up alone

Stop where you are
Look to your heart
Donât be afraid, donât throw love away
Donât get burned by your heart

âCause youâre a long, long way from home
You need a man of your own
Keepinâ you warm
âCause youâre a long, long way from home
You need to hurry back home
Let me keep you warm, hey, hey

Sometimes it feels like lifeâs over, yeah
You know when it feel like everythingâs wrong
Donât let it take you, take you under
Baby, donât end up, end up alone

Stop where you are
Look to your heart
Donât be afraid, donât throw love away
Donât get burned by your heart

âCause youâre a long, long way from home
You need a man of your own
Keepinâ you warm
âCause youâre a long, long way, way from home, yeah
Yeah, you better hurry on back home, yeah
Let me, let me keep you warm, yeah

I know that at times it doesnât seem fair
Those are times when you donât even care
Broken heart, shattered dreams
Without love, tell me what does it mean

Stop it, baby, right where you are
Donât let it go, go too far
Stop it, stop it, right where you are
Youâre a long way from home, yeah...

âCause youâre a long, long way home
You need, oh, yes, youâre gonna need someone to hold on to
Youâre gonna need someone to keep you warm
And I wanna be right there by your side
I donât ever wanna let you go, let you go, let you, let you go, baby
Hurry, hurry, hurry, hurry, hurr-hurr-hurry
Oh, donât too long, baby

Stop where you are
Look to your heart
Donât be afraid, donât throw love away
Donât get burned by your heart

âCause youâre a long, long way home
You need a man, all you really need someone to hold on
Someone thatâs gonna love you
Someone thatâs gonna keep you warm all night long
You see, not a train, not car, not a plane
Not a boatâs gonna bring me back home, baby
You gotta hurry back home, you come on
Get some of this, get some of this, get some of this
Good-good-good lovinâ
You need to hurry, yeah, yeah, oh
Youâre a long, long way, yeah",1993,sad
Lately I,Faith Evans,https://www.azlyrics.com/lyrics/faithevans/latelyi.html,"Lately I don't wanna see the morning sun 
Lately I, I'm not much good to anyone 
Lately I don't laugh the way I used to do, no 
Lately I've been cryin' 
Lately I've been missing you 

Lately I don't wanna hear my favorite song 
Lately I, I'm finding it hard to carry on 
Lately everything I see is painted blue, oh 
Baby I've been dyin' 
Baby I've been missing you, oh 

Lately I don't know why I ever let you go 
But I want you back 
I need you back 
Without you it's all wrong 
Baby, make it right 
Bring your love back to my life 
Cuz nothing's been the same since you've been gone 

Lately I don't feel like talking to my friends 
Lately I, I feel like this pain will never end 
I don't want to go the places we went to, no, no, no 
I don't feel like smiling 
Baby I'm just missing you , oh oh oh 

Oh baby 
I want you back 
I need you back 
Without you it's all wrong 
Baby, make it right 
Bring your sweet love back to my life 
Cuz I'm just not the same since you've been gone, oh whoa 

Lately I don't wanna see the morning sun 
Lately I, I'm not much good to anyone 
Lately I don't laugh the way I used to do, no, no no no 
Lately I've been cryin' 
Baby, I've been dyin', oh yeah 
Save me from this pain I'm going through 
Lately I've been cryin' 
Lately I've been missing, missing you 

You",1998,sad
It's Gonna Rain,Kelly Price,https://www.azlyrics.com/lyrics/kellyprice/itsgonnarain.html,"Somethin' that you must know (Mmm...)
There's somethin' that you must know (I've been waitin' on you)
It's somethin' that you must know (Come on in)
It's somethin' that you must know (And stay for a while)

There is somethin' that you must know (Can I talk to you)
There is somethin' that you must know (Say what's on my mind)
Here is somethin' that you must know (Ooh, boy)
I'mma tell ya, I'mma tell ya, I'mma tell ya (Ooh, listen to me)

There's somethin' in my soul ain't right
I can's sleep at night
Wonderin' when the change gon?come
I'm feelin' that I'm not the only one

Tell me when I turn you off
Doctor say it's not my fault
All the neighbors stop and stare
My pastor says to stay in prayer

It will rain (Oh...ho...)
There'll be pain (Only for a little while)
Trouble will come (Yeah, they will)
Understand (Ooh...)

Count it on joy (You gotta count)
Mornin' will come (After the rain)
The sun will shine (Yeah, yeah)
Keep your head high (Mmm, uh-huh)

I can't believe the way you talk
Seems you wanna call it off
Friends see you treatin' me like dirt
What happened to ""Better or for worse""

I need answers (Can you tell me)
Too much pressure (Too, too much, too bad)
I don't understand you (Oh...whoa...whoa...)
Do I really miss you (Said it will)

It will rain (Yeah, yeah)
There'll be pain (But only for a little while)
Trouble will come (Oh, yeah...yeah...)
Understand (Count it on)

Count it on joy (Yeah, yeah, yeah)
Mornin' will come (After the darkness)
The sun will shine (Sun will shine)
Keep your head high (Yeah)

Oh, I've tried (Tried to leave you)
But, I (Boy, I love you)
I can't let go (Seems I can't let go)
Oh...whoa...
Oh...oh...oh...whoa...

I don't ever wanna lose my baby
But this pain just drives me crazy
Feels like I'm goin' insane
But I gotta be strong 'cause it will rain

It will rain (Some times there will be pain)
There'll be pain (Some times troubles will come)
Trouble will come (Oh...well, you gotta)
Understand (Oh, count it on joy)

Count it on joy (Oh...yeah)
Mornin' will come (After the rain)
The sun will shine (So keep your head up)
Keep your head high ('cause God will take care of you)

It will rain (Oh, yes, He will)
There'll be pain (Some times there will be pain)
Trouble will come (Oh...whoa...ho...)
Understand (Count it on joy)

Count it on joy (Oh...ho...)
Mornin' will come (After the rain it will)
The sun will shine (The sun will shine)
Keep your head high (Ooh...ooh...ooh...)

It will rain",,sad
One Day You Will,Deborah Cox,https://www.azlyrics.com/lyrics/deborahcox/onedayyouwill.html,"You don't miss me now 
You don't miss me now 

One day you will 
Be walking down the street 
And you'll see someone and she will look a lot like me 
And you'll think about someone you left behind 
And it will make you cry 

One day you will 
Be starting out your day 
And you'll look inside you coffee cup and see my face 
And you'll realize the sad mistake you made 
And it will be too late 

One day you'll wonder why you ever said good-bye 
And you will wish you were still right here by my side 
But I won't be around 
You don't miss me now 
You don't miss me now 
One day you will 

Never find a love like what we had 
Never find someone like me again 
Through the tears one day you'll see 
That the one you need is me 
You'll want me back again 
You'll want me back again 

One day you will 
Be driving in your car 
And you're gonna hear a song that's gonna break your heart 
And you'll wish you'd said those words you didn't say 
It will be too late 

One day you'll wonder why you ever said good-bye 
And you will wish you were still right here, right by my side 
But baby I won't be around 
You don't miss me now 
You don't miss me now 

One day you will 
Be walking down the street 
And you'll see someone and she will look a lot like me 
And you'll think about someone you left behind 
And it will make you cry 

You don't miss me now 
You don't miss me now 

[Repeat 2 x]

But one day you will 
One day you will",1998,sad
I'm Over You,Tamar Braxton,https://www.azlyrics.com/lyrics/tamarbraxton/imoveryou.html,"You told me you would love me forever
You told me you would alway's do me right, oh
When you said that you had to leave I thought I would die
When I didn't have you right by my side
Now I'm Over You

[1]
Now I'm over You, I knew I would get over you
No matter how long it takes
Now I'm over you, I knew I would get over you
I wanna thank you for walkin' out my life

Remember when we made love at night, hmm, hmm, hmm
Remember when you kised and held me tight, oh ye-yea-yeah
Remember when you promised that I'll never cry
You know I cried myself to sleep every night

That's why I'm over you, oh

[Repeat 1]

What about my feelings?
What about my pride?
What about my heart I gave to you?
What about the years I was blind.
What what about the times I picked you up when you were down
But I guess it don't mean the same to you
That's why I can't get over you, whoa

[Repeat 1 (2x)]

For getting me over you, oh...",2000,sad
Worst Case Scenario,Joe,https://www.azlyrics.com/lyrics/joe/worstcasescenario.html,"Ooooh ooooh ooh ooh 
Never paid enough attention 
There's some things I should have mentioned, oh baby 
Never held you when we kicked it 
See the times thats all you needed 
Didnt notice all the signs you were sending 
Didnt think not for a moment we'd be ending, no 
Every time that I lie, made you cry, 
Took a sparkle from your eyes 
And erased your smile 

Blackberry blowin up 
Turn it off 
Just wanna be alone 
If it aint you then im not home 
Heard hes moving in and your moving on 
Well congratulations baby 

Someone else making love to you 
Its killing me to think of you in bed with 
Somebody new 
Giving you that extra spark 
Dipping in your goodie jar 
This could be by far 
The worst case scenario 

Someone else zipping up your dress 
Complimenting you on how you look so damn sexy 
Somebody deep in love 
Could turn around and mess it up 
This could be by far 
The worst case scenario 

(no more) two man's face 
(no sex) in the escalade 
Me watching your booty 
While you watching the movie 
(no trips) to the west indies 
(no chilling) in the vip 
And I cant believe that its over, 
It's over, it's over 

Blackberry blowin up 
Turn it off 
Just wanna be alone 
If it aint you then im not home 
I heard hes moving in and your moving on 
Well congratulations baby 

Someone else making love to you 
Its killing me to think of you in bed with 
Somebody new 
Giving you that extra spark 
Dipping in your goodie jar 
This could be by far 
The worst case scenario 

Someone else zipping up your dress 
Complimenting you on how you look so damn sexy 
Somebody deep in love 
Could turn around and mess it up 
This could be by far 
The worst case scenario 

Does he call you baby girl 
Can he really rock your world 
No one can do you the way I do 
Can you tell me theres no spark 
Burning inside your heart 
I do believe, you still love me 

Someone else making love to you 
Its killing me to think of you in bed with 
Somebody new 
Giving you that extra spark 
Dipping in your goodie jar 
This could be by far 
The worst case scenario 

Someone else zipping up your dress 
Complimenting you on how you look so damn sexy 
Somebody deep in love 
Could turn around and mess it up 
This could be by far 
The worst case scenario 

Two man's face 
In the escalade 
(lookin at your body baby) 
(watchin a movie) 
West indies 
Vip 
I cant believe that its over 

Someone else making love to you 
Its killing me to think of you in bed with 
Somebody new 
Giving you that extra spark 
Dipping in your goodie jar 
This could be by far 
The worst case scenario 

Someone else zipping up your dress 
Complimenting you on how you look so damn sexy 
Somebody deep in love 
Could turn around and mess it up 
This could be by far 
The worst case scenario",2009,sad
My Road,Jorn,https://www.azlyrics.com/lyrics/jorn/myroad.html,"Empty was the cradle before I learned to walk
I crawled to find out where the song played
The music and the melody were captured by the heart
And so my road to light and darkness had begun

The dream inside the vision fueled within my mind
Has guided me to some where in between
Wandering the twilight in a circle of fire
Sent here to burn in this wheel of yearning
As I'm turning

The promised land is hidden beyond this life and time
But somewhere in the distance hides the sun
Brave into a new world we stumble to the fall
Into after all
I can feel death call",2012,sad
No Condition,Mary J. Blige,https://www.azlyrics.com/lyrics/maryjblige/nocondition.html,"Heyyyyyyyyy
Woahhhhhhhh
Heyyyyyyyyy
Woahhhhhhhh

[Verse 1:]
Can't even hide it, it's writen on my face
And I don't have any more time or energy to waste
So I'm waving my white flag
Sad it has to be like that
It ain't working out baby in another life or space

[Hook:]
Oh I
Baby, I gave you
Ohhhhhh
Everything that I could give you
Sooo I made my decision
Loving you's been a mission

[Chorus:]
Nowwww I'm in no condition
To love you (No more)
Nowwww I'm in no condition (ummm)
Heyyyyyyyyy
Woahhhhhhhh
Heyyyyyyyyy (Said I'm waving my white flag)
Woahhhhhhhh (Sad it has to be like that)

[Verse 2:]
Barely any happy days, we always seem to have drama (Too much Drama)
And it's really weighing heavy on me baby
Both of us acting crazy
I hate it when we fight 
Middle of the night
Always seems to remind me 
Love, how much it hurts
To know it's getting worse
My faith in us is slowly dying

[Hook]

[Chorus:]
Nowwww I'm in no condition
To love you (No more)
I'm in no condition
Heyyyyyyyyy (Hey)
Woahhhhhhhh
Heyyyyyyyyy
Woahhhhhhhh

Heyyyyyyyyy (I'm in no condition to love)
Woahhhhhhhh (I'm in no condition to love)
Heyyyyyyyyy (I'm in no condition to love)
Woahhhhhhhh (No Condition!)
Damn
How did you go from being my best friend to me barely even wanting your affection?
I never would've thought (Hey)
That I would be so unhappy
Ohhhhhh oh 
Hold me down (Hey)
Hold me Down (Oh)
Yeah you Hold me Down 
Even though it's sad to say it's over now
I can't love you under these conditions!

[Hook]

So I made my decision
Loving you's been a mission

[Chorus:]
Nowwwwwwww I'm in no condition
To love you (No More)
I'm in no condition 
Heyyyyyyyyy (I'm in no condition to love, no)
Woahhhhhhhh (I'm in no condition to love, no)
Heyyyyyyyyy (I'm in no condition to love you)
Woahhhhhhhh (I'm in no condition to love, no)
Heyyyyyyyyy (I'm in no condition to love, no)
Woahhhhhhhh (I'm in no condition to love, no)
Heyyyyyyyyy ('m in no condition to love, you)
Woahhhhhhhh (I'm in no condition to love, no)
I'm in no condition to love (No Condition baby!)
I'm in no condition to love, no
I'm in no condition to love you (Heyyyyyyyyy)
Nooooooo",2011,sad
Make You Feel My Love,Ronan Keating,https://www.azlyrics.com/lyrics/ronankeating/makeyoufeelmylove.html,"When the rain
Is blowing in your face
And the whole world
Is on your case
I could offer you
A warm embrace
To make you feel my love

When the evening shadows
And the stars appear
And there is no one there
To dry your tears
I could hold you
For a million years
To make you feel my love

I know you
Haven't made
Your mind up yet
But I would never
Do you wrong
I've known it
From the moment
That we met
No doubt in my mind
Where you belong

I'd go hungry
I'd go black and blue
I'd go crawling
Down the avenue
No, there's nothing
That I wouldn't do
To make you feel my love

The storms are raging
On the rolling sea
And on the highway of regret
Though winds of change
Are throwing wild and free
You ain't seen nothing
Like me yet

I could make you happy
Make your dreams come true
Nothing that I wouldn't do
Go to the ends
Of the Earth for you
To make you feel my love",2009,sad
Gave It All Away,Boyzone,https://www.azlyrics.com/lyrics/boyzone/gaveitallaway.html,"I ... I will learn to live before I die
Will learn to love and learn to try
Not to give it all away (give it all away)
She ... she may be
The one that's meant for me
Or for the man that I used to be (used to be)
Til' I gave it all away (gave it all away [x2])

Why hy hy I lay my heart down on the floor
I showed you love, you wanted more re re
But I gave it all away (cry ry ry ry cry ry ry ry)

You taught me to see the better truth
About yourself but about me too (about me too)
I was stupid over you
What could I do

Why hy hy I lay my heart down on the floor
I showed you love, you wanted more re re
But I gave it all away (cry ry ry ry cry ry ry ry)

Some people wait a lifetime for a chance like this
I've waited enough
Baby, no, I won't let you go
I'm sick of tears and bitter fears

(ohh no woah a woah [x2])

Why hy hy I lay my heart down on the floor
I showed you love, you wanted more re re
But I gave it all away (cry ry ry ry cry ry ry ry)

Why hy hy I lay my heart down on the floor
I showed you love, you wanted more re re
But I gave it all away (cry ry ry ry cry ry ry ry)

There's nothing left to take (cry ry ry ry cry ry ry ry ry)

I gave it all away",2010,sad
A Waste of Space,Dayshell,https://www.azlyrics.com/lyrics/dayshell/awasteofspace.html,"Today the presence's over, awake the dead for closure
Believing in true, I love you

A waste of space is cliche,
The thought of endless betraying me like a fool,
So who needs you.

Lay me down, On the sea,
You're the crook side of criminal that hardly can breathe
And I know, you've done this before.

Tonight my love is unsafe,
I'm left with doubts and mistakes,
Collapsing into the bottle of you.
If I could rewind and go back,
I'd destroy the place that we first me at.
And I just might.

Lay me down, On the sea,
You're the crook side of criminal that hardly can breathe
And I know, you've done this before.

You took the best of me, the best of me.

Lay me down, On the sea,
You're the crook side of criminal that hardly can breathe
Don't you see me now, I'm on my knees,
You say I'm invincible, but they all seen me bleed
And I know, you've done this before",2013,sad
Angel,Jamey Johnson,https://www.azlyrics.com/lyrics/jameyjohnson/angel.html,"The voice on the telephone sounds awful angry
And somehow it doesn't fit in
With the face in the picture I keep on my dresser
Of the girl I once called my best friend

We drank from the fountain of good times and dreaming
But these lawyers have poisoned the well
And as our love is dying they're making a killing
On heartaches and furniture sales

And the line between evil and good disappears
And now it's so hard to tell
Am I shaking a demon that's after my soul
Or sending an angel to Hell?

Am I right or is she right or are we both wrong?
Or is it even about that at all?
As Heaven is fading we're fighting and fussing
And the devil's just having a ball.

And the line between evil and good disappears
And now it's so hard to tell
Am I shaking a demon that's after my soul
Or sending an angel to Hell?",2008,sad
I Who Have Nothing,Joe Cocker,https://www.azlyrics.com/lyrics/joecocker/iwhohavenothing.html,"I, I who have nothing
I, I who have no one
Adore you and want you so
I'm just a no one with nothing to give you but, oh
I love you

He, he buys you diamonds
Bright, sparkling diamonds
But, believe me, dear, when I say
That he can give you the world but he'll never love the way
I love you

He can take you any place he wants
To fancy clubs and restaurants
But I can only watch you with
My nose pressed up against the window pane

I, I who have nothing
I, I who have no one
Must watch you go dancing by
Wrapped in the arms of somebody else when, darling, it's I
Who loves you

I love you
I love you
I love you",2004,sad
Nothin' Grows In Shadows,Jake Owen,https://www.azlyrics.com/lyrics/jakeowen/nothingrowsinshadows.html,"Hey you kids, bullying the kids down at your school
one of these days you're gonna grow up, be ashamed
who gave you the right to decide who is and who aint cool
who could sit at your table and be on your team and play your games

[CHORUS]
let 'em shine, shine like a diamond
give 'em time and you'll fine theres not cover rose
God's light shines for everybody
so get outta His way
nothin grows in shadows

hey fathers, screamin' at your kids from the bleachers
saying ""quit actin like a sissy, suck it up and win""
maybe you ought'a stop and think about what you're teaching
yeah you talk about a loser, I dont think it's them

[CHORUS]
let 'em shine, shine like a diamond
give 'em time and you'll fine theres not cover rose
God's light shines for everybody
so get outta His way
nothin grows in shadows

well I aint sayin' I aint been a shadow myself
a dark cloud that rained on somebody else
well I learned a lesson that I need to tell
the doctor that saved my mommas life
helped beat her cancer, made sure she got well
was a kid I went to school with all my life
man I used to give him hell

[CHORUS]
let 'em shine, shine like a diamond
give 'em time and you'll fine theres not cover rose
God's light shines for everybody
so get outta His way
nothin grows in shadows

oh get outta His way
nothin grows in shadows

[instrumental solo]",2009,sad
Womanhood,Tammy Wynette,https://www.azlyrics.com/lyrics/tammywynette/womanhood.html,"Well he said hold on Patricia
I only tried to kiss ya
She said OK and then said don't you dare
She seems so badly shakin'
He thought he was mistaken
But it sure looked like she bowed her head in prayer

I am a Christian Lord, but I'm a woman too
If you are listenin' Lord, please show me what to do
I've tried hard to be what mama says is good
As I step into my womanhood

Shortly after midnight
She turned off the porch light
Walked into her bedroom all alone
She sat down and said well, Lord
God, I've been through hell, Lord
Wonderin' if I did right or wrong

I am a Christian Lord, but I'm a woman to
If you are listenin' Lord, please show me what to do
I've tried hard to be what mama says is good
As I step into my womanhood
One more time

You heard, yes I am a Christian Lord, but I'm a woman too
If you are listenin' Lord, please show me what to do
I've tried hard to be what mama says is good
As I step into my womanhood

Slowly slip into my womanhood
Slowly slip into my womanhoo-oo-oo-ood...",1978,sad
Underneath Your Clothes,Shakira,https://www.azlyrics.com/lyrics/shakira/underneathyourclothes.html,"You're a song 
Written by the hands of God
Don't get me wrong cause 
This might sound to you a bit odd
But you own the place
Where all my thoughts go hiding
And right under your clothes
Is where I find them 

Underneath Your Clothes
There's an endless story 
There's the man I chose 
There's my territory
And all the things I deserve
For being such a good girl honey

Because of you
I forgot the smart ways to lie
Because of you
I'm running out of reasons to cry
When the friends are gone
When the party's over 
We will still belong to each other 

Underneath Your Clothes
There's an endless story 
There's the man I chose 
There's my territory
And all the things I deserve
For being such a good girl honey [x2]

I love you more than all that's on the planet
Movin' talkin' walkin' breathing
You know it's true 
Oh baby it's so funny
You almost don't believe it
As every voice is hanging from the silence
Lamps are hanging from the ceiling
Like a lady tied to her manners
I'm tied up to this feeling

Underneath Your Clothes
There's an endless story 
There's the man I chose 
There's my territory
And all the things I deserve
For being such a good girl honey [x2]",2001,sad
Lips Of An Angel,Hinder,https://www.azlyrics.com/lyrics/hinder/lipsofanangel.html,"Honey why you calling me so late?
It's kinda hard to talk right now.
Honey why are you crying? Is everything okay?
I gotta whisper 'cause I can't be too loud

Well, my girl's in the next room
Sometimes I wish she was you
I guess we never really moved on
It's really good to hear your voice saying my name
It sounds so sweet
Coming from the lips of an angel
Hearing those words it makes me weak

And I never wanna say goodbye
But girl you make it hard to be faithful
With the lips of an angel

It's funny that you're calling me tonight
And, yes, I've dreamt of you too
And does he know you're talking to me
Will it start a fight
No I don't think she has a clue

Well my girl's in the next room
Sometimes I wish she was you
I guess we never really moved on
It's really good to hear your voice saying my name
It sounds so sweet
Coming from the lips of an angel
Hearing those words it makes me weak

And I never wanna say goodbye
But girl you make it hard to be faithful
With the lips of an angel

It's really good to hear your voice saying my name
It sounds so sweet
Coming from the lips of an angel
Hearing those words it makes me weak

And I never wanna say goodbye
But girl you make it hard to be faithful
With the lips of an angel

And I never wanna say goodbye
But girl you make it hard to be faithful
With the lips of an angel

Honey why you calling me so late?",2005,sad
Speechless,The Veronicas,https://www.azlyrics.com/lyrics/veronicas/speechless.html,"Feels like I have always known you
And I swear I've dreamt about you
All those endless nights I was alone
It's like I've spent forever searching
Now I know that it was worth it
With you it feels like I am finally home

Falling head over heels
Thought I knew how it feels
But with you it's like the first day of my life

Cuz you leave me speechless
When you talk to me
You leave me breathless
The way you look at me
You manage to disarm me
My soul is shining through
Can't help but surrender
My everything to you

I thought I could resist you
I thought that I was strong
Somehow you were different from what I've known
I didn't see you coming
You took me by surprise and
You stole my heart before I could say no

Falling head over heels
Thought I knew how it feels
But with you it's like the first day of my life

You leave me speechless
When you talk to me
You leave me breathless
The way you look at me
You manage to disarm me
My soul is shining through
I can't help but surrender
Oh no
My everything to you

You leave me speechless
(the way you smile, the way you touch my face)
You leave me breathless
(it's something that you do I can't explain)
I'd run a million miles just to hear you say my name,
Baby

You leave me speechless
You leave me breathless
The way you look at me
You manage to disarm me
My soul is shining through
I can't help but surrender
My everything to you",2005,sad
Horses in My Dreams,PJ Harvey,https://www.azlyrics.com/lyrics/pjharvey/horsesinmydreams.html,"Horses in my dreams 
Like waves, like the sea 
They pull out of here 
They pull, they are free

Rode a horse around the world 
Along the tracks of a train 
Broke the record, found the gold 
Set myself free again

I have pulled myself clear

Horses in my dreams
Like waves, like the sea 
On the tracks of a train 
Set myself free again

I have pulled myself clear",2000,sad
Welcome to My Life,Simple Plan,https://www.azlyrics.com/lyrics/simpleplan/welcometomylife.html,"Do you ever feel like breaking down?
Do you ever feel out of place
Like somehow you just don't belong
And no one understands you?
Do you ever wanna run away?
Do you lock yourself in your room
With the radio on turned up so loud
That no one hears you're screaming?

No, you don't know what it's like
When nothing feels alright
You don't know what it's like
To be like me

To be hurt, to feel lost
To be left out in the dark
To be kicked when you're down
To feel like you've been pushed around
To be on the edge of breaking down
And no one's there to save you
No, you don't know what it's like
Welcome to my life

Do you wanna be somebody else?
Are you sick of feeling so left out?
Are you desperate to find something more
Before your life is over?
Are you stuck inside a world you hate?
Are you sick of everyone around?
With their big fake smiles and stupid lies
While deep inside you're bleeding

No, you don't know what it's like
When nothing feels alright
You don't know what it's like
To be like me

To be hurt, to feel lost
To be left out in the dark
To be kicked when you're down
To feel like you've been pushed around
To be on the edge of breaking down
And no one's there to save you
No, you don't know what it's like
Welcome to my life

No one ever lied straight to your face
And no one ever stabbed you in the back
You might think I'm happy, but I'm not gonna be okay
Everybody always gave you what you wanted
You never had to work, it was always there
You don't know what it's like, what it's like


To be hurt, to feel lost
To be left out in the dark
To be kicked when you're down
To feel like you've been pushed around
To be on the edge of breaking down
And no one's there to save you
No, you don't know what it's like (What it's like)

To be hurt, to feel lost
To be left out in the dark
To be kicked when you're down
To feel like you've been pushed around
To be on the edge of breaking down
And no one's there to save you
No, you don't know what it's like
Welcome to my life
Welcome to my life
Welcome to my life",2004,sad
My Wish,Rascal Flatts,https://www.azlyrics.com/lyrics/rascalflatts/mywish.html,"I hope the days come easy and the moments pass slow
And each road leads you where you want to go
And if youâre faced with the choice and you have to choose
I hope you choose the one that means the most to you
And if one door opens to another door closed
I hope you keep on walkinâ âtil you find the window
If itâs cold outside, show the world the warmth of your smile
But more than anything, more than anything

[Chorus:]
My wish for you
Is that this life becomes all that you want it to
Your dreams stay big, your worries stay small
You never need to carry more than you can hold
And while youâre out there gettinâ where youâre gettinâ to
I hope you know somebody loves you
And wants the same things too
Yeah, this is my wish

I hope you never look back but you never forget
All the ones who love you
And the place you left
I hope you always forgive and you never regret
And you help somebody every chance you get
Oh, you find Godâs grace in every mistake
And always give more than you take
But more than anything, yeah more than anything

[Chorus x2]

This is my wish
I hope you know somebody loves you
May all your dreams stay big",2006,sad
A Lonely September,Plain White T's,https://www.azlyrics.com/lyrics/plainwhitets/alonelyseptember.html,"I'm sittin' here all by myself
Just tryin' to think of something to do
Tryin' to think of something, anything
Just to keep me from thinking of you
But you know it's not working out
'cause you're all that's on my mind
One thought of you is all it takes
To leave the rest of the world behind

[Chorus]
Well I didn't mean for this to go as far as it did
And I didn't mean to get so close and share what we did
And I didn't mean to fall in love, but I did
And you didn't mean to love me back, but I know you did

I'm sittin' here tryin' to convince myself
That you're not the one for me
But the more I think, the less I believe it
And the more I want you here with me
You know the holidays are coming up
I don't want to spend them alone
Memories of Christmas time with you
Will just kill me if I'm on my own

[Chorus]
Well I didn't mean for this to go as far as it did
And I didn't mean to get so close and share what we did
And I didn't mean to fall in love, but I did
And you didn't mean to love me back

I know it's not the smartest thing to do
We just can't seem to get it right
But what I wouldn't give to have one more chance tonight
One more chance tonight

I'm sittin' here tryin' to entertain myself with this old guitar
But with all my inspiration gone it's not getting me very far
I look around my room and everything I see reminds me of you
Oh please, baby won't you take my hand
We've got nothing left to prove

[Chorus]
Well I didn't mean for this to go as far as it did
And I didn't mean to get so close and share what we did
And I didn't mean to fall in love, but I did
And you didn't mean to love me back, but I know you did

And I didn't mean to meet you then
We were just kids
And I didn't mean to give you chills
The way that I kiss
And I didn't mean to fall in love, but I did
And you didn't mean to love me back but I know you did
Don't say you didn't love me back 'cause you know you did
No, you didn't mean to love me back
But you did",2002,sad
Poem to a Horse,Shakira,https://www.azlyrics.com/lyrics/shakira/poemtoahorse.html,"You're to far to bring you close
And too high to see below
just hangin' on your daily dose
I know you never needed anyone
But the rolling papers for your grass
How can you give what you don't have?

You keep on aiming for the top 
And quit before you sweat a drop 
Feed your empty brain with your hydroponic pot 
You start out playing with yourself 
You get more fun within your shell 
Nice to meet you but I gotta go my way 

[Chorus:]
I'll leave again 
Cuz I've been waiting in vain 
But you're so in love with yourself 
If I say my heart is sore 
Sounds like a cheap metaphor 
So I won't repeat it no more 

I'd rather eat my soup with a fork 
Or drive a cab in New York 
Cuz to talk to you is harder work 
So what's the point of wasting all my words 
If it's just the same or even worse 
Than reading poems to a horse 

You keep on aiming for the top 
And quit before you sweat a drop 
Feed your empty brain with your hydroponic pot 
I bet you'll find someone like you 
Cuz there's a foot for every shoe 
I wish you luck but I've got other things to do

I'll leave again 'cause I've
Been waiting in vain
But you're so in love with yourself
If I say my heart is sore
Sounds like a cheap metaphor
So I won't repeat it no more",2001,sad
Without A Kiss,Badly Drawn Boy,https://www.azlyrics.com/lyrics/badlydrawnboy/withoutakiss.html,"All the songs have been sung
Youâre too old and then youâre too young
Did you leave your mark on the world
One as deep as true love
Letâs sing Hosanna

All the stories are told
Youâre too young and then youâre too old
Did you leave a mark on the world
One that lasts as long as true love
Take me with you now

To be strung as high as this
Making love without a kiss
And someone you saw again
Back to haunt you there and then
Please take on my love

Evolution is real
Secrets we have never revealed
Did you leave your mark, was it real
Or as deep as the love we both feel

To be strung as high as this
Making love without a kiss
Like a gift you didnât keep
And it leaves a mark so deep

Thereâs a million things to miss
Like the chance to take that kiss
where you go, youâll be someone
With one kiss your life is swung

What you gonna do when you walk away
Walk behind me, itâs alright, Iâm Ok
Then what will you do if I walk away
Walk beside me, itâs alright, weâre Ok
Where you gonna do, donât surrender
Hold me tight, donât let go",2006,sad
The Woman in Me (Needs the Man in You),Shania Twain,https://www.azlyrics.com/lyrics/shaniatwain/thewomaninmeneedsthemaninyou.html,"I'm not always strong
And sometimes I'm even wrong
But I win when I choose
And I can't stand to lose 
But I can't always be 
The rock that you see
When the nights get too long
And I just can't go on 

The woman in me
Needs you to be
The man in my arms
To hold tenderly
Cause I'm a woman in love
And it's you I run to
Yeah the woman in me
Needs the man in you 

When the world wants too much
And it feels cold and out of touch
It's a beautiful place
When you kiss my face 

The woman in me
Needs you to be
The man in my arms
To hold tenderly
Cause I'm a woman in love
And it's you I run to
Yeah the woman in me
Needs the man in you 

Yeah the woman in me
Needs the man in you 

I need you baby
Yeah yeah Oh baby...",1995,sad
