song,artist,url,lyrics,year,mood
Happy Together,The Turtles,https://www.azlyrics.com/lyrics/turtles/happytogether.html,"Imagine me and you, I do
I think about you day and night
It's only right
To think about the girl you love
And hold her tight
So happy together

If I should call you up, invest a dime
And you say you belong to me
And ease my mind
Imagine how the world could be
So very fine
So happy together

I can't see me loving nobody but you for all my life
When you're with me, baby, the skies will be blue for all my life

Me and you and you and me
No matter how they tossed the dice
It had to be
The only one for me is you
And you for me
So happy together

I can't see me loving nobody but you for all my life
When you're with me, baby, the skies will be blue for all my life

Me and you and you and me
No matter how they tossed the dice
It had to be
The only one for me is you
And you for me
So happy together
...

Me and you and you and me
No matter how they tossed the dice
It had to be
The only one for me is you
And you for me
So happy together
So happy together
How is the weather?
So happy together
We're happy together
So happy together
We're happy together
So happy together
So happy together",1967,happy
I Feel It All,Feist,https://www.azlyrics.com/lyrics/feist/ifeelitall.html,"I feel it all I feel it all
I feel it all I feel it all
The wings are wide the wings are wide
Wild card inside wild card inside

Oh I'll be the one who'll break my heart
I'll be the one to hold the gun

I know more than I knew before
I know more than I knew before
I didn't rest I didn't stop
Did we fight or did we talk

Oh I'll be the one who'll break my heart
I'll be the one to hold the gun

I love you more
I love you more
I don't know what I knew before
But now I know I wanna win the war

No one likes to take a test
Sometimes you know more is less
Put your weight against the door
Kick drum on the basement floor
Stranded in a fog of words
Loved him like a winter bird
On my head the water pours
Gulf stream through the open door
Fly away
Fly away to what you want to make

I feel it all, I feel it all
I feel it all I feel it all
The wings are wide, the wings are wide
Wild card inside, wild card inside

Oh I'll be the one to break my heart
I'll be the one who'll break my heart
I'll be the one who'll break my heart
I'll end it though you started it

The truth lies
The truth lied
And lies divide
Lies divide",2007,happy
Wouldn't It Be Nice,The Beach Boys,https://www.azlyrics.com/lyrics/beachboys/wouldntitbenice.html,"Wouldn't it be nice if we were older
Then we wouldn't have to wait so long
And wouldn't it be nice to live together
In the kind of world where we belong

You know it's gonna make it that much better
When we can say goodnight and stay together

Wouldn't it be nice if we could wake up
In the morning when the day is new
And after having spent the day together
Hold each other close the whole night through

Happy times together we've been spending
I wish that every kiss was neverending
Wouldn't it be nice

Maybe if we think and wish and hope and pray it might come true
Baby then there wouldn't be a single thing we couldn't do
We could be married (we could be married)
And then we'd be happy (and then we'd be happy)

Wouldn't it be nice

You know it seems the more we talk about it
It only makes it worse to live without it
But lets talk about it
Wouldn't it be nice

Good night my baby
Sleep tight my baby
Good night my baby
Sleep tight my baby
Good night my baby
Sleep tight my baby ...",1966,happy
Time to Pretend,MGMT,https://www.azlyrics.com/lyrics/mgmt/timetopretend.html,"I'm feeling rough I'm feeling raw I'm in the prime of my life
Let's make some music make some money find some models for wives
I'll move to Paris, shoot some heroin and fuck with the stars
You man the island and the cocaine and the elegant cars

This is our decision to live fast and die young
We've got the vision, now let's have some fun
Yeah it's overwhelming, but what else can we do?
Get jobs in offices and wake up for the morning commute?

Forget about our mothers and our friends
We were fated to pretend, to pretend
We were fated to pretend, to pretend

I'll miss the playgrounds and the animals and digging up worms
I'll miss the comfort of my mother and the weight of the world
I'll miss my sister, miss my father, miss my dog and my home
Yeah I'll miss the boredom and the freedom and the time spent alone

But there is really nothing, nothing we can do
Love must be forgotten. Life can always start up anew
The models will have children, we'll get a divorce
We'll find some more models, everything must run its course

We'll choke on our vomit and that will be the end
We were fated to pretend, to pretend
We were fated to pretend, to pretend

Yeah yeah yeah
Yeah yeah yeah
Yeah yeah yeah
Yeah yeah yeah",P:  ,happy
Fidelity,Regina Spektor,https://www.azlyrics.com/lyrics/reginaspektor/fidelity.html,"(Shake it up)

I never loved nobody fully
Always one foot on the ground
And by protecting my heart truly
I got lost in the sounds
I hear in my mind
All these voices
I hear in my mind all these words
I hear in my mind all this music

And it breaks my heart
And it breaks my heart
And it breaks my heart
It breaks my heart

And suppose I never ever met you
Suppose we never fell in love
Suppose I never ever let you kiss me so sweet and so soft
Suppose I never ever saw you
Suppose we never ever called
Suppose I kept on singing love songs just to break my own fall
Just to break my fall
Just to break my fall
Just to break my fall
Break my fall
Break my fall

All my friends say that of course it's gonna get better
Gonna get better
Better better better better
Better better better

I never love nobody fully
Always one foot on the ground
And by protecting my heart truly
I got lost
In the sounds
I hear in my mind
All these voices
I hear in my mind all these words
I hear in my mind
All this music
And it breaks my heart
It breaks my heart

I hear in my mind all of these voices
I hear in my mind all of these words
I hear in my mind all of this music

Breaks my
Heart
Breaks my heart",2006,happy
Lovely Day,Bill Withers,https://www.azlyrics.com/lyrics/billwithers/lovelyday.html,"When I wake up in the morning, love
And the sunlight hurts my eyes
And something without warning, love
Bears heavy on my mind

Then I look at you
And the world's alright with me
Just one look at you
And I know it's gonna be
A lovely day
... lovely day, lovely day, lovely day ...

When the day that lies ahead of me
Seems impossible to face
When someone else instead of me
Always seems to know the way

Then I look at you
And the world's alright with me
Just one look at you
And I know it's gonna be
A lovely day.....

When the day that lies ahead of me
Seems impossible to face
When someone else instead of me
Always seems to know the way

Then I look at you
And the world's alright with me
Just one look at you
And I know it's gonna be
A lovely day......",1977,happy
Float On,Modest Mouse,https://www.azlyrics.com/lyrics/modestmouse/floaton.html,"I backed my car into a cop car the other day
Well he just drove off sometimes life's OK
I ran my mouth off a bit too much oh what did I say
Well you just laughed it off it was all OK

And we'll all float on OK
And we'll all float on OK
And we'll all float on OK
And we'll all float on any way

Well, a fake Jamaican took every last dime with that scam
It was worth it just to learn from sleight of hand
Bad news comes don't you worry even when it lands
Good news will work its way to all them plans
We both got fired on exactly the same day
Well we'll float on good news is on the way

And we'll all float on OK
And we'll all float on OK
And we'll all float on OK
And we'll all float on alright
Already we'll all float on
Now don't you worry we'll all float on alright
Already we'll all float on alright
Don't worry we'll all float on

(Alright already)
And we'll all float on alright
Already we'll all float on alright
Don't worry even if things end up a bit too heavy
We'll all float on alright
Already we'll all float on alright
Already we'll all float on OK
Don't worry we'll all float on
Even if things get heavy we'll all float on alright
Already we'll all float on alright
Don't you worry we'll all float on alright
We'll all float on",2004,happy
Put Your Records On,Corinne Bailey Rae,https://www.azlyrics.com/lyrics/corinnebaileyrae/putyourrecordson.html,"Three little birds sat on my window
And they told me I don't need to worry
Summer came like cinnamon
So sweet
Little girls double-dutch on the concrete

Maybe sometimes we've got it wrong, but it's alright
The more things seem to change, the more they stay the same
Oh, don't you hesitate

Girl, put your records on, tell me your favourite song
You go ahead, let your hair down
Sapphire and faded jeans, I hope you get your dreams
Just go ahead, let your hair down

You're gonna find yourself somewhere, somehow

Blue as the sky, sunburnt and lonely
Sipping tea in a bar by the roadside
(Just relax, just relax)
Don't you let those other boys fool you
Got to love that afro hair do

Maybe sometimes we feel afraid, but it's alright
The more you stay the same, the more they seem to change
Don't you think it's strange?

Girl, put your records on, tell me your favourite song
You go ahead, let your hair down
Sapphire and faded jeans, I hope you get your dreams
Just go ahead, let your hair down

You're gonna find yourself somewhere, somehow

'Twas more than I could take, pity for pity's sake
Some nights kept me awake, I thought that I was stronger
When you gonna realise, that you don't even have to try any longer?
Do what you want to

Girl, put your records on, tell me your favourite song
You go ahead, let your hair down
Sapphire and faded jeans, I hope you get your dreams
Just go ahead, let your hair down

Girl, put your records on, tell me your favourite song
You go ahead, let your hair down
Sapphire and faded jeans, I hope you get your dreams
Just go ahead, let your hair down

Oh, you're gonna find yourself somewhere, somehow",2006,happy
Steal My Sunshine,Len,https://www.azlyrics.com/lyrics/len/stealmysunshine.html,"[Intro (on album version):]
[Tim:]
Hey, Matt
[Matt:]
Yeah, Tim?
[Tim:]
Hey, you talked to Marc lately?
[Matt:]
Uh, haven't really talked to him but he looks pretty, uh, down
[Tim:]
""He looks pretty, uh, down?""
Yeah, well maybe we should cheer him up then
[Matt:]
What do you, uh, suppose we should do?
[Tim:]
Well, does he like butter tarts?

[Marc:]
I was lying on the grass
On Sunday morning of last week
Indulging in my self-defeat
My mind was thugged, all laced and bugged
All twisted wrong and beat
A comfortable in three feet deep
Now the fuzzy stare from not being there
On a confusing morning week
Impaired my tribal lunar speak
And of course you can't become if you only say
What you would have done
So I missed a million miles of fun

[Marc (Sharon):]
I know it's up for me
(If you steal my sunshine)
Making sure I'm not in too deep
(If you steal my sunshine)
Keeping versed and on my feet
(If you steal my sunshine)

[Spoken (on album version):]
[Tim:]
Chad, come here come here, come here
[Chad:]
Wow, look at her
[Tim:]
I know
[Chad:]
Wow, I've never seen Sharon look so bad before
[Tim:]
I did once before but this is pretty bad
[Chad:]
Yeah, what do you think she got up to last night?
[Tim:]
Well, I, ""Jared, I love you!""

[Sharon:]
I was lying on the bench slide
In the park across the street
L-A-T-E-R that week
My sticky paws were in to making straws
Out of big fat Slurpee treats
An incredible eight foot heap
Now the funny glare to pay a gleaming tare
In a staring under heat
Involved an under usual feat
And I'm not only among
But I invite who I want to come
So I missed a million miles of fun

[Marc (Sharon):]
I know it's up for me
(If you steal my sunshine)
Making sure I'm not in too deep
(If you steal my sunshine)
Keeping versed and on my feet
(If you steal my sunshine)

I know it's done for me
(If you steal my sunshine)
Not as some and hard to see
(If you steal my sunshine)
Keeping dumb and built to beat
(If you steal my sunshine)

My sunshine, if you steal my sunshine
My sunshine, if you steal my sunshine
My sunshine, if you steal my sunshine
My sunshine, if you steal my sunshine
My sunshine, if you steal my sunshine
My sunshine, if you steal my sunshine
My sunshine, if you steal my sunshine
My sunshine, if you steal my sunshine
My sunshine, if you steal my sunshine",,happy
Three Little Birds,Bob Marley,https://www.azlyrics.com/lyrics/bobmarley/threelittlebirds.html,"""Don't worry about a thing
'Cause every little thing gonna be all right
Singin': ""Don't worry about a thing
'Cause every little thing gonna be all right!""

Rise up this mornin'
Smile with the risin' sun
Three little birds
Pitch by my doorstep
Singin' sweet songs
Of melodies pure and true
Sayin', (""This is my message to you-ou-ou"")

Singin': ""Don't worry 'bout a thing
'Cause every little thing gonna be all right""
Singin': ""Don't worry (don't worry) 'bout a thing
'Cause every little thing gonna be all right!""

Rise up this mornin'
Smiled with the risin' sun
Three little birds
Pitch by my doorstep
Singin' sweet songs
Of melodies pure and true
Sayin', ""This is my message to you-ou-ou:""

Singin': ""Don't worry about a thing, worry about a thing, oh!
Every little thing gonna be all right. Don't worry!""
Singin': ""Don't worry about a thing"" - I won't worry!
""'Cause every little thing gonna be all right""

Singin': ""Don't worry about a thing
'Cause every little thing gonna be all right"" - I won't worry!
Singin': ""Don't worry about a thing
'Cause every little thing gonna be all right""
Singin': ""Don't worry about a thing, oh no!
'Cause every little thing gonna be all right!""",1977,happy
Fireflies,Owl City,https://www.azlyrics.com/lyrics/owlcity/fireflies.html,"You would not believe your eyes
If ten million fireflies
Lit up the world as I fell asleep
'Cause they'd fill the open air
And leave teardrops everywhere
You'd think me rude
But I would just stand and stare

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems

'Cause I'd get a thousand hugs
From ten thousand lightning bugs
As they tried to teach me how to dance
A foxtrot above my head
A sock hop beneath my bed
A disco ball is just hanging by a thread
(Thread, thread...)

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems
(When I fall asleep)

Leave my door open just a crack
(Please take me away from here)
'Cause I feel like such an insomniac
(Please take me away from here)
Why do I tire of counting sheep?
(Please take me away from here)
When I'm far too tired to fall asleep
(Ha-ha)

To ten million fireflies
I'm weird 'cause I hate goodbyes
I got misty eyes as they said farewell
(Said farewell)
But I'll know where several are
If my dreams get real bizarre
'Cause I saved a few and I keep them in a jar
(Jar, jar, jar...)

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems (when I fall asleep)

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems (when I fall asleep)

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
Because my dreams are bursting at the seams",2009,happy
Say Hey (I Love You),Michael Franti & Spearhead,https://www.azlyrics.com/lyrics/michaelfrantispearhead/sayheyiloveyou.html,"Come down selector

This one goes out to you and yours, worldwide

I say hey, I'll be gone today
But I'll be back all around the way
It seems like everywhere I go
The more I see, the less I know
But I know one thing
That I love you (baby girl)
I love you, I love you, I love you

I've been a lot of places all around the way
I've seen a lot of joy and I've seen a lot of pain
But I don't wanna write a love song for the world
I just wanna write a song about a boy and a girl

Junkies on the corner always calling my name
OK
And the kids on the corner playing ghetto games
When I saw you getting down, well, I hope it was you
And when I look into your eyes I knew it was true

I say hey, I'll be gone today
But I'll be back all around the way
It seems like everywhere I go
The more I see, the less I know
But I know one thing
That I love you (baby girl)
I love you, I love you, I love you

Now I'm not a highly metaphysical man
But I know when the stars are aligned you can
OK
Bump into a person in the middle of the road
Look into their eyes and you suddenly know

Rocking in the dance hall moving with you
Rocking rocking
Dancing in the night in the middle of June
My momma told me don't lose you
'Cause the best luck I had was you
Sure

I say hey, I'll be gone today
But I'll be back all around the way
Alright
It seems like everywhere I go
The more I see, the less I know
But I know one thing
That I love you (baby girl)
I love you, I love you, I love you

And I say, rocking in the dance hall, moving with you
I say, hey momma, hey momma, close to you
Rocking in the dance hall, moving with you
I say, hey poppa, hey poppa, take off your shoes

Rocking in the dance hall moving with you
I say, hey momma, hey momma, close to you
Rocking in the dance hall moving with you
I say, hey momma, hey momma, hey momma, hey momma, hey momma, hey momma, hey momma, hey momma

What are gonna do, papa

My momma told me don't lose you
'Cause the best luck I had was you
And I know one thing
That I love you

I say hey, I'll be gone today
OK
But I'll be back all around the way
You promise
It seems like everywhere I go
The more I see, the less I know

I say hey, I'll be gone today
But I'll be back all around the way
It seems like everywhere I go
The more I see, the less I know

But I know one thing
That I love you (baby girl)
I love you, I love you, I love you
I love you, I love you, I love you
Rocking in the dance hall moving with you
I love you, I love you, I love you
It's true, it's true
I love you, I love you, I love you

Rocking in the dance hall moving with you
I say, hey poppa, hey poppa
Hey momma, hey momma
Rocking in the dance hall moving with you
Come on, hey poppa, hey poppa",2008,happy
Lemon Tree,Fool's Garden,https://www.azlyrics.com/lyrics/foolsgarden/lemontree.html,"I'm sitting here in a boring room, it's just another rainy
Sunday afternoon. I'm wasting my time, I got nothing to do.
I'm hanging around, I'm waiting for you,
But nothing ever happens - and I wonder.

I'm driving around in my car, I'm driving too fast, I'm
Driving too far. I'd like to change my point of view.
I feel so lonely, I'm waiting for you,
But nothing ever happens - and I wonder.

I wonder how, I wonder why yesterday you told me
'Bout the blue blue sky and all that I can see is just
A yellow lemon tree. I'm turning my head up and down
I'm turning, turning, turning, turning, turning around.
And all that I can see is just another lemon tree.

Sing: dah...

I'm sitting here, I miss the power, I'd like to go out,
Taking a shower, but there's a heavy cloud inside my head.
I feel so tired, put myself into bed, where nothing ever
Happens - and I wonder.

Isolation - is not the good for me.
Isolation - I don't want to sit on a lemon tree.
I'm steppin' around in a desert of joy. Baby anyhow I'll get
Another toy and everything will happen - and you'll wonder.

I wonder how, I wonder why yesterday you told me
'Bout the blue blue sky and all that I can see is just
Another lemon tree. I'm turning my head up and down
I'm turning, turning, turning, turning, turning around
And all that I can see is just a yellow lemon tree.

And I wonder, wonder
I wonder how, I wonder why yesterday you told me
'Bout the blue blue sky and all that I can see
And all that I can see
And all that I can see is just a yellow lemon tree.",1996,happy
Such Great Heights,The Postal Service,https://www.azlyrics.com/lyrics/postalservice/suchgreatheights.html,"I am thinking it's a sign
That the freckles in our eyes
Are mirror images and when
We kiss they're perfectly aligned

And I have to speculate
That God himself did make
Us into corresponding shapes
Like puzzle pieces from the clay

And true, it may seem like a stretch,
But its thoughts like this that catch
My troubled head when you're away
When I am missing you to death

When you are out there on the road
For several weeks of shows
And when you scan the radio,
I hope this song will guide you home

They will see us waving from such great heights,
""Come down now,"" they'll say
But everything looks perfect from far away,
""Come down now,"" but we'll stay...

I tried my best to leave
This all on your machine
But the persistent beat it sounded thin
Upon listening

And that frankly will not fly.
You will hear the shrillest highs
And lowest lows with the windows down
When this is guiding you home

They will see us waving from such great heights,
""Come down now,"" they'll say
But everything looks perfect from far away,
""Come down now,"" but we'll stay...

They will see us waving from such great heights,
""Come down now,"" they'll say
But everything looks perfect from far away,
""Come down now,"" but we'll stay...

They will see us waving from such great heights,
""Come down now.""
They will see us waving from such great heights,
""Come down now.""",2003,happy
You Can Call Me Al,Paul Simon,https://www.azlyrics.com/lyrics/paulsimon/youcancallmeal.html,"A man walks down the street
He says, ""Why am I soft in the middle now?
Why am I soft in the middle?
The rest of my life is so hard
I need a photo opportunity
I want a shot at redemption
Don't want to end up a cartoon
In a cartoon graveyard""
Bonedigger, bonedigger
Dogs in the moonlight
Far away my well-lit door
Mr. Beerbelly, Beerbelly
Get these mutts away from me
You know I don't find this stuff
Amusing anymore

If you'll be my bodyguard
I can be your long-lost pal
I can call you Betty
And Betty, when you call me
You can call me Al

A man walks down the street
He says, ""Why am I short of attention?
Got a short little span of attention
And, woe my nights are so long
Where's my wife and family?
What if I die here?
Who'll be my role model
Now that my role model is
Gone gone?""
He ducked back down the alley
With some roly-poly little bat-faced girl
All along along
There were incidents and accidents
There were hints and allegations

If you'll be my bodyguard
I can be your long-lost pal
I can call you Betty
And Betty, when you call me
You can call me Al
Call me Al

A man walks down the street
It's a street in a strange world
Maybe it's the third world
Maybe it's his first time around
He doesn't speak the language
He holds no currency
He is a foreign man
He is surrounded by the sound, the sound
Cattle in the marketplace
Scatter-lings and orphanages

He looks around, around
He sees angels in the architecture
Spinning in infinity
He says, ""Amen!"" and ""Hallelujah!""

If you'll be my bodyguard
I can be your long-lost pal
I can call you Betty
And Betty, when you call me
You can call me Al
Call me

Na na na na â¦

If you'll be my bodyguard
I can call you Betty

If you'll be my bodyguard
I can call you Betty

If you'll be my bodyguard ...",1986,happy
You Get What You Give,New Radicals,https://www.azlyrics.com/lyrics/newradicals/yougetwhatyougive.html,"Wake up kids
We've got the dreamer's disease
Age 14
We got you down on your knees
So polite,
We're busy still saying please

Frienemies,
Who when you're down ain't your friend
Every night
We smash their Mercedes-Benz
First we run
And then we laugh 'til we cry

[Pre-chorus:]
But when the night is falling
You cannot find the light, light
You feel your dreams are dying
Hold tight

[Chorus:]
You've got the music in you
Don't let go
You've got the music in you
One dance left
This world is gonna pull through
Don't give up
You've got a reason to live
Can't forget
We only get what we give

I'm comin' home baby
You're tops, give it to me now

Four A.M. we ran a miracle mile
We're flat broke but hey we do it in style
The bad rich
God's flying in for your trial

[Pre-chorus:]
But when the night is falling
You cannot find your friend (friend)
You feel your tree is breaking
Just bend

[Chorus]

This whole damn world can fall apart
You'll be OK, follow your heart
You're in harm's way, I'm right behind
Now say you're mine

[Chorus]

[Bridge:]
Don't let go
I feel the music in you
Fly high
What's real can't die
You only get what you give
You're gonna get what you give
(don't give up)
Just don't be afraid to live

Health insurance rip off lying
FDA big bankers buying
Fake computer crashes dining
Cloning while they're multiplying
Fashion shoots with Beck and Hanson,
Courtney Love and Marilyn Manson
You're all fakes
Run to your mansions
Come around
We'll kick your ass in!

Don't let go
One dance left

[Unsaid lyrics from liner]
Championed by a soulless media misleading
People unaware they're bleeding
No one with a brain is believing
It's so sad you lost the meaning
Never knew it anyway
Human natures so predictable
I'm a fool to do your dirty work whoa, whoa",1998,happy
Smile,Lily Allen,https://www.azlyrics.com/lyrics/lilyallen/smile.html,"When you first left me I was wanting more
But you were fucking that girl next door, what you do that for (what you do that for)?
When you first left me I didn't know what to say
I never been on my own that way, just sat by myself all day

I was so lost back then
But with a little help from my friends
I found a light in the tunnel at the end
Now you're calling me up on the phone
So you can have a little whine and a moan
And it's only because you're feeling alone

At first when I see you cry,
Yeah, it makes me smile, yeah, it makes me smile
At worst I feel bad for a while,
But then I just smile, I go ahead and smile

Whenever you see me you say that you want me back
And I tell you it don't mean jack, no, it don't mean jack
I couldn't stop laughing, no, I just couldn't help myself
See you messed up my mental health I was quite unwell

I was so lost back then
But with a little help from my friends
I found a light in the tunnel at the end
Now you're calling me up on the phone
So you can have a little whine and a moan
And it's only because you're feeling alone

At first when I see you cry,
Yeah, it makes me smile, yeah, it makes me smile
At worst I feel bad for a while,
But then I just smile, I go ahead and smile

Lalalalalalalalalalalalalalalala lalala

At first when I see you cry,
Yeah, it makes me smile, yeah, it makes me smile
At worst I feel bad for a while,
But then I just smile, I go ahead and smile

Lalalalalalalalalalalalalalalalalalalala

At first when I see you cry,
Yeah, it makes me smile, yeah, it makes me smile
At worst I feel bad for a while,
But then I just smile, I go ahead and smile",2006,happy
You! Me! Dancing!,Los Campesinos!,https://www.azlyrics.com/lyrics/loscampesinos/youmedancing.html,"The beats yeah, they were coming out the speakers
And were winding up straight in your sneakers
And I'm dancing like every song he spins is bis
Or like all my dance heroes would if they existed

And yeah it's sad that you think that we're all just scenesters
And even if we were its not the scene you're thinking of
To taking props from nineties boy band fashions
All crop tops and testosterone passion

If there's one thing that I could never confess
It's that I can't dance a single step

It's you, it's me
And there's dancing
It's you, it's me
And there's dancing

Not sure if you mind if I dance with you
But I don't think right now you care about anything at all
If only there were clothes on the floor
I'd feel for certain I was bedroom dancing

And it's all flailing limbs at the front line
Every single one of us is twisted by design
And dispatches from the back of my mind
Says as long as we're here everything is alright

If there's one thing that I could never confess
It's that I can't dance a single step

It's you, it's me
And there's dancing
It's you, it's me
And there's dancing

If there's one thing that I could never confess
It's that I can't dance a single step

One thing that I could never confess
It's that I can't dance a single step

It's you, it's me
And there's dancing
It's you, it's me
And there's dancing

It's you, it's me
And there's dancing
It's you, it's me
And there's dancing

And I always get confused,
because in supermarkets they turn the lights off when they want you to leave,
but in discos they turn them on.
And it's always sad to go, but it's never that sad,
Because there's only so many places you're guaranteed of getting a hug when you leave.
And then on the way home, it always seems like a good idea to go paddling in the fountain, and that's because it IS a good idea.
And were just like, how Rousseau depicts man in the state of nature:
we're undeveloped, we're ignorant, we're stupid, but we're happy.",P:  ,happy
Birdhouse in Your Soul,They Might Be Giants,https://www.azlyrics.com/lyrics/theymightbegiants/birdhouseinyoursoul.html,"I'm your only friend
I'm not your only friend
But I'm a little glowing friend
But really I'm not actually your friend
But I am

Blue canary in the outlet by the light switch
Who watches over you
Make a little birdhouse in your soul
Not to put too fine a point on it
Say I'm the only bee in your bonnet
Make a little birdhouse in your soul

I have a secret to tell
From my electrical well
It's a simple message and I'm leaving out the whistles and bells
So the room must listen to me
Filibuster vigilantly
My name is blue canary one note* spelled l-i-t-e
My story's infinite
Like the Longines Symphonette it doesn't rest

Blue canary in the outlet by the light switch
Who watches over you
Make a little birdhouse in your soul
Not to put too fine a point on it
Say I'm the only bee in your bonnet
Make a little birdhouse in your soul

I'm your only friend
I'm not your only friend
But I'm a little glowing friend
But really I'm not actually your friend
But I am

There's a picture opposite me
Of my primitive ancestry
Which stood on rocky shores and kept the beaches shipwreck free
Though I respect that a lot
I'd be fired if that were my job
After killing Jason off and countless screaming Argonauts
Bluebird of friendliness
Like guardian angels its always near

Blue canary in the outlet by the light switch
Who watches over you
Make a little birdhouse in your soul
Not to put too fine a point on it
Say I'm the only bee in your bonnet
Make a little birdhouse in your soul

(and while you're at it
Keep the nightlight on inside the
Birdhouse in your soul)

Not to put too fine a point on it
Say I'm the only bee in your bonnet
Make a little birdhouse in your soul

Blue canary in the outlet by the light switch (and while you're at it)
Who watches over you (keep the nightlight on inside the)
Make a little birdhouse in your soul (birdhouse in your soul)

Not to put too fine a point on it
Say I'm the only bee in your bonnet
Make a little birdhouse in your soul

Blue canary in the outlet by the light switch (and while you're at it)
Who watches over you (keep the nightlight on inside the)
Make a little birdhouse in your soul (birdhouse in your soul)

Not to put too fine a point on it
Say I'm the only bee in your bonnet
Make a little birdhouse in your soul",1990,happy
Unwritten,Natasha Bedingfield,https://www.azlyrics.com/lyrics/natashabedingfield/unwritten.html,"I am unwritten, can't read my mind
I'm undefined
I'm just beginning, the pen's in my hand
Ending unplanned

Staring at the blank page before you
Open up the dirty window
Let the sun illuminate the words that you could not find

Reaching for something in the distance
So close you can almost taste it
Release your inhibitions

Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins

The rest is still unwritten

I break tradition, sometimes my tries
Are outside the line
We've been conditioned to not make mistakes
But I can't live that way

Staring at the blank page before you
Open up the dirty window
Let the sun illuminate the words that you could not find

Reaching for something in the distance
So close you can almost taste it
Release your inhibitions

Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins

Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins

The rest is still unwritten

Staring at the blank page before you
Open up the dirty window
Let the sun illuminate the words that you could not find

Reaching for something in the distance
So close you can almost taste it
Release your inhibitions

Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins

Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins

The rest is still unwritten
The rest is still unwritten
The rest is still unwritten",2004,happy
Brown Eyed Girl,Van Morrison,https://www.azlyrics.com/lyrics/vanmorrison/browneyedgirl.html,"Hey, where did we go
Days when the rains came ?
Down in the hollow
Playing a new game,
Laughing and a-running, hey, hey,
Skipping and a-jumping
In the misty morning fog with
Our, our hearts a-thumping
And you, my brown-eyed girl,
You, my brown-eyed girl.

Whatever happened
To Tuesday and so slow
Going down to the old mine with a
Transistor radio.
Standing in the sunlight laughing
Hide behind a rainbow's wall,
Slipping and a-sliding
All along the waterfall
With you, my brown-eyed girl,
You, my brown-eyed girl.

Do you remember when we used to sing
Sha la la la la la la la la la la dee dah
Just like that
Sha la la la la la la la la la la dee dah
La dee dah.

So hard to find my way
Now that I'm all on my own.
I saw you just the other day,
My, how you have grown!
Cast my memory back there, Lord,
Sometime I'm overcome thinking about
Making love in the green grass
Behind the stadium
With you, my brown-eyed girl,
You, my brown-eyed girl.

Do you remember when we used to sing
Sha la la la la la la la la la la dee dah
Laying in the green grass
Sha la la la la la la la la la la dee dah
Dee dah dee dah dee dah dee dah dee dah dee
Sha la la la la la la la la la la la la
Dee dah la dee dah la dee dah la
D-d-d-d-d-d-d-d-d-d...",1967,happy
Ladyflash,The Go! Team,https://www.azlyrics.com/lyrics/goteam/ladyflash.html,"Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah

We started out friends, said that you're the kind of man takes every girl for a fool

When the worlds go to it, they always fall, but can they do it with a cold foot, I say're you're...
Well, you, you
The fantastic kids are so nasty (Say what?)
Those nasty kids are fantastic

Five, four, three, two, one

We came here to rock the microphone
We came here to rock the microphone
Our aim was to break it down to the bone
Our aim was to break it down to the bone

What's gonna rock
What's gonna rock
What's gonna rock
What's gonna rock

We started out friends, said that you're the kind of man takes every girl for a fool

What's my boyfriend's going to do and do the shot and do the do

We came here to rock the microphone
We came here to rock the microphone
Our aim was to break it down to the bone
Our aim was to break it down to the bone
We came here to rock the microphone
We came here to rock the microphone
Our aim was to break it down to the bone
Our aim was to break it down to the bone

Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah",2004,happy
